,In Match Predictions
0,0.11565402458772829
1,0.1426422146627621
2,0.10789669028246394
3,0.13159820357743118
4,0.06579057808323892
5,0.07844320899384627
6,0.07399961033755299
7,0.06391206246233533
8,0.0879521679956024
9,0.0618863623220699
10,0.09395717489964103
11,0.06432095320048865
12,0.04180274713315401
13,0.03282533644389618
14,0.03820800430108965
15,0.04548904295113014
16,0.04081583656617445
17,0.04932578214723341
18,0.07903133817770615
19,0.09263091579312395
20,0.06150016288266181
21,0.08071454120982646
22,0.06746248378749545
23,0.05656111565744807
24,0.07345471795907015
25,0.15390291586089616
26,0.11854029394585844
27,0.14516579165803048
28,0.09700219201116439
29,0.06748190557203611
30,0.05722878838306921
31,0.0695194750341233
32,0.09655195244020759
33,0.10604198813208833
34,0.0750562136843517
35,0.06152956545060044
36,0.07095070822349514
37,0.05669741766717298
38,0.06666988543650548
39,0.07934976547566554
40,0.1601148568416018
41,0.11399058769959304
42,0.07439561572783973
43,0.06342312932305556
44,0.07621786208198193
45,0.06090909155907189
46,0.08495110985614057
47,0.11128126339473256
48,0.07292016441951446
49,0.051059890612043496
50,0.030033925881555783
51,0.02454498732977306
52,0.02059029585335441
53,0.025730097993518088
54,0.01866298790122243
55,0.02446588314685901
56,0.01838418829990269
57,0.022328281799296572
58,0.015836944900415994
59,0.022544331481891094
60,0.03654037698702953
61,0.021444202914985347
62,0.015056478762077243
63,0.17836648896597318
64,0.21598276926808138
65,0.16634988461077768
66,0.194420953967011
67,0.20575968139731407
68,0.19836015999142495
69,0.14246253066630238
70,0.18321103813858822
71,0.17156260610963509
72,0.18715967380460866
73,0.22195206812673865
74,0.31256028040487166
75,0.5075804750929993
76,0.5801328324896249
77,0.6493795768126714
78,0.6809779948091009
79,0.7239508646265518
80,0.7925974174764262
81,0.6356847224253186
82,0.6388794894992539
83,0.6843433296858046
84,0.8037446306238136
85,0.6624829523410445
86,0.579250480026905
87,0.5010776560639996
88,0.5712921959329084
89,0.6734448664408531
90,0.5813387935723865
91,0.48433798023864627
92,0.3610572097444282
93,0.4507325217709595
94,0.30063992061205497
95,0.4717637895002019
96,0.5423357553216258
97,0.7478998326945475
98,0.8158829118004304
99,0.7253103577658565
100,0.7795215986106594
101,0.7220526574023337
102,0.669541717410387
103,0.6906723713590514
104,0.6402450974556917
105,0.5610224177594633
106,0.46714762845892815
107,0.5402614922472901
108,0.587277000104694
109,0.6137807643493634
110,0.5604223411480332
111,0.49449936747095424
112,0.32250810109015937
113,0.4991363712908176
114,0.5279585256211545
115,0.4760861807072036
116,0.32052812473888426
117,0.3073595128727259
118,0.25174189730598856
119,0.1871406506568996
120,0.14198514652957817
121,0.1494517941432049
122,0.2050311066947887
123,0.14993672957741092
124,0.3009715740033373
125,0.21415270802348485
126,0.344458142666413
127,0.26297118954716275
128,0.3395184699612673
129,0.2575620246465098
130,0.20791341797436266
131,0.24984196763230165
132,0.29016991722340485
133,0.2161099336949709
134,0.2672629742055628
135,0.20169693328523994
136,0.24501145208819738
137,0.2697502526310603
138,0.28493706177944045
139,0.22513023314108865
140,0.18748104140964356
141,0.20434095203414204
142,0.19023922857481992
143,0.18596294625808305
144,0.18262023312277942
145,0.305593268195165
146,0.19256565436036494
147,0.18396445265900316
148,0.18064969073748258
149,0.1865816281694763
150,0.1906003572636263
151,0.18591716351386667
152,0.17869576275841192
153,0.18633098302080806
154,0.18505585209562203
155,0.11874740435508724
156,0.0769534421269755
157,0.09872119031589766
158,0.07242802954394228
159,0.09487344311106513
160,0.07559042465914807
161,0.04376945681651534
162,0.03226289185868393
163,0.04751161727880417
164,0.0605956202071371
165,0.041598893101855126
166,0.027385155942585164
167,0.039111622911016296
168,0.020893945626933065
169,0.03878902372979799
170,0.046510920618733353
171,0.04049744411817775
172,0.05172156186786664
173,0.11325771534382834
