,match_id,player1,player2,elapsed_time,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,p1_score,p2_score,server,serve_no,point_victor,p1_points_won,p2_points_won,game_victor,set_victor,p1_ace,p2_ace,p1_winner,p2_winner,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,p1_distance_run,p2_distance_run,rally_count,speed_mph,serve_width_B,serve_width_BC,serve_width_BW,serve_width_C,serve_width_W,serve_depth_CTL,serve_depth_NCTL,return_depth_D,return_depth_ND,winner_shot_type_0,winner_shot_type_B,winner_shot_type_F,elapsed_seconds,performance,momentum,predicted performance,predicted momentum,integrated point winner,win probability,partial win probability,micro,macro
0,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:00:00,1,1,1,0,0,0,0,0,0,1,2,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.0,7.84,2,95.0,0,1,0,0,0,0,1,0,1,1,0,0,0,-1.8893906827540121,-1.8893906827540121,-0.5999006033286356,-0.5999006033286356,-1,0.1156540245877282,-0.39603061074643847,0.5964966931417922,0.6617073968643659
1,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:00:38,1,1,2,0,0,0,0,0,15,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.253,7.094,1,118.0,1,0,0,0,0,1,0,0,1,1,0,0,38,1.0103421414153058,-0.8790485413387064,0.3198478449126155,-0.2800527584160201,0,0.1426422146627621,-0.007757334305264291,0.6031685678324366,0.4981196106517626
2,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:01:01,1,1,3,0,0,0,0,15,15,1,1,2,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13.8,19.808,4,120.0,1,0,0,0,0,0,1,1,0,1,0,0,61,-2.007881529501534,-2.8869300708402403,-0.8195830274789668,-1.099635785894987,-1,0.1078966902824639,-0.011044011085331013,0.5627661673408557,0.6832511871820971
3,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:01:31,1,1,4,0,0,0,0,15,30,1,1,1,2,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,51.108,75.631,13,130.0,0,0,1,0,0,1,0,1,0,0,0,1,91,-0.05084237275543524,-2.9377724435956756,-1.0615436653080865,-2.1611794512030738,0,0.1315982035774311,-0.042106112199225,0.4964329024824496,0.6910622495918973
4,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:02:21,1,1,5,0,0,0,0,30,30,1,1,1,3,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.649,0.813,1,112.0,0,0,0,0,1,0,1,0,0,1,0,0,141,0.06268043395874501,-2.875092009636931,-0.07078359349652252,-2.2319630446995964,1,0.0657905780832389,-0.0531549945835849,0.7888453241815775,0.6704217392802282
5,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:02:50,1,1,6,0,0,0,0,40,30,1,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.291,4.249,2,97.0,0,0,1,0,0,0,1,0,1,1,0,0,170,-2.0508423727554352,-4.9259343823923665,-0.11499455332452568,-2.346957598024122,0,0.0784432089938462,0.008209032254313992,0.8119492731436365,0.6910622495918973
6,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:03:33,1,1,7,0,0,0,0,40,40,1,1,1,4,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.817,17.821,1,109.0,0,0,0,0,1,1,0,1,0,1,0,0,213,0.14932758255012613,-4.776606799842241,-0.8207651854361466,-3.1677227834602686,1,0.0739996103375529,-0.0145311465315109,0.5099690773379091,0.6546677122636134
7,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:04:01,1,1,8,0,0,0,0,55,40,1,2,2,4,4,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,17.503,18.067,6,105.0,1,0,0,0,0,0,1,0,1,0,0,1,241,-2.014620587941618,-6.7912273877838585,-0.9877265847412917,-4.155449368201561,0,0.0639120624623353,0.013952557658049508,0.5089646677334421,0.6844764705348396
8,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:04:48,1,1,9,0,0,0,0,40,40,1,1,1,5,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,34.489,24.594,7,128.0,0,1,0,0,0,1,0,1,0,1,0,0,288,0.14932758255012613,-6.641899805233733,-0.32261573739123484,-4.478065105592796,1,0.0879521679956024,-0.002025700140265402,0.6760188933528797,0.6546677122636134
9,2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:05:32,1,1,10,0,0,0,0,55,40,1,1,1,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.235,27.427,5,110.0,1,0,0,0,0,0,1,0,1,1,0,0,332,0.7294345757288094,-5.912465229504923,-0.2491118303808399,-4.7271769359736355,2,0.0618863623220699,0.006005006904038601,0.5071511979634502,0.5491937135038528
